"Name","COVID-19 Deaths by Race/Ethnicity"
"Description","Racial groups are defined such that:&nbsp;<br />
<em>Asian</em>&nbsp;= Asian or Pacific Islander<br />
<em>Black</em>&nbsp;= Black or African American<br />
<em>Hispanic</em>&nbsp;= Hispanic or Latino, regardless of race<br />
<em>White</em>&nbsp;= White&nbsp;<br />
<br />
Rates are age adjusted according to the U.S. 2000 standard population, per 100,000 people by racial/ethnic group.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Deaths were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;</strong><strong><strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on COVID-19, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data on people identified as American Indian/Alaska Native, two or more races, or other races/ethnicities are not shown, as precise race-specific population estimates are not available for these groups in NYC. Race/ethnicity information is most complete for people who have been hospitalized or have died.<br />
<br />
Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Black,2/12,Number,6046,3651000
New York City,Hispanic,2/12,Number,6859,3651000
New York City,White,2/12,Number,6253,3651000
New York City,Asian,2/26,Number,2068,3651000
New York City,Black,2/26,Number,6286,3651000
New York City,Hispanic,2/26,Number,7197,3651000
New York City,White,2/26,Number,6610,3651000
New York City,Asian,3/05,Number,2123,3651000
New York City,Black,3/05,Number,6383,3651000
New York City,Hispanic,3/05,Number,7348,3651000
New York City,White,3/05,Number,6794,3651000
New York City,Asian,1/27,Rate,130.79,3651000
New York City,Black,1/27,Rate,266.34,3651000
New York City,Hispanic,1/27,Rate,288.21,3651000
New York City,White,1/27,Rate,148.1,3651000
New York City,Asian,2/12,Rate,143.44,3651000
New York City,Black,2/12,Rate,277.66,3651000
New York City,Hispanic,2/12,Rate,302.18,3651000
New York City,White,2/12,Rate,158.28,3651000
New York City,Asian,2/26,Rate,155.24,3651000
New York City,Black,2/26,Rate,288.55,3651000
New York City,Hispanic,2/26,Rate,317.2,3651000
New York City,White,2/26,Rate,167.34,3651000
New York City,Asian,3/05,Rate,159.29,3651000
New York City,Black,3/05,Rate,292.9,3651000
New York City,Hispanic,3/05,Rate,323.72,3651000
New York City,White,3/05,Rate,172.02,3651000
New York City,Asian,3/19,Number,2215,3651000
New York City,Black,3/19,Number,6565,3651000
New York City,Hispanic,3/19,Number,7559,3651000
New York City,White,3/19,Number,7057,3651000
New York City,Asian,4/02,Number,2348,3651000
New York City,Black,4/02,Number,6723,3651000
New York City,Hispanic,4/02,Number,7783,3651000
New York City,White,4/02,Number,7264,3651000
New York City,Asian,4/11,Number,2389,3651000
New York City,Black,4/11,Number,6837,3651000
New York City,Hispanic,4/11,Number,7913,3651000
New York City,White,4/11,Number,7396,3651000
New York City,Asian,3/19,Rate,166.11,3651000
New York City,Black,3/19,Rate,301.34,3651000
New York City,Hispanic,3/19,Rate,333.03,3651000
New York City,White,3/19,Rate,178.83,3651000
New York City,Asian,4/02,Rate,175.9,3651000
New York City,Black,4/02,Rate,308.55,3651000
New York City,Hispanic,4/02,Rate,342.91,3651000
New York City,White,4/02,Rate,183.99,3651000
New York City,Asian,4/11,Rate,179,3651000
New York City,Black,4/11,Rate,313.73,3651000
New York City,Hispanic,4/11,Rate,348.59,3651000
New York City,White,4/11,Rate,187.33,3651000
