"Name","COVID-19 Hospitalizations by Race/Ethnicity"
"Description","Racial groups are defined such that:&nbsp;<br />
<em>Asian</em>&nbsp;= Asian or Pacific Islander<br />
<em>Black</em>&nbsp;= Black or African American<br />
<em>Hispanic</em>&nbsp;= Hispanic or Latino, regardless of race<br />
<em>White</em>&nbsp;= White&nbsp;<br />
<br />
Rates are age adjusted according to the U.S. 2000 standard population, per 100,000 people by racial/ethnic group.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data on people identified as American Indian/Alaska Native, two or more races, or other races/ethnicities are not shown, as precise race-specific population estimates are not available for these groups in NYC. Race/ethnicity information is most complete for people who have been hospitalized or have died. Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Hispanic,3/05,Number,28260,3651000
New York City,White,3/05,Number,21482,3651000
New York City,Asian,1/27,Rate,455.94,3651000
New York City,Black,1/27,Rate,933.63,3651000
New York City,Hispanic,1/27,Rate,1005.23,3651000
New York City,White,1/27,Rate,500.49,3651000
New York City,Asian,2/12,Rate,504.73,3651000
New York City,Black,2/12,Rate,1004.86,3651000
New York City,Hispanic,2/12,Rate,1080.1,3651000
New York City,White,2/12,Rate,541.63,3651000
New York City,Asian,2/26,Rate,560.37,3651000
New York City,Black,2/26,Rate,1073.07,3651000
New York City,Hispanic,2/26,Rate,1161.56,3651000
New York City,White,2/26,Rate,586.26,3651000
New York City,Asian,3/05,Rate,585.07,3651000
New York City,Black,3/05,Rate,1102.75,3651000
New York City,Hispanic,3/05,Rate,1196.11,3651000
New York City,White,3/05,Rate,602.67,3651000
New York City,Asian,3/19,Number,8657,3651000
New York City,Black,3/19,Number,24473,3651000
New York City,Hispanic,3/19,Number,29507,3651000
New York City,White,3/19,Number,22492,3651000
New York City,Asian,4/02,Number,9218,3651000
New York City,Black,4/02,Number,25503,3651000
New York City,Hispanic,4/02,Number,30500,3651000
New York City,White,4/02,Number,23522,3651000
New York City,Asian,4/11,Number,9445,3651000
New York City,Black,4/11,Number,26085,3651000
New York City,Hispanic,4/11,Number,31136,3651000
New York City,White,4/11,Number,23958,3651000
New York City,Asian,3/19,Rate,622.31,3651000
New York City,Black,3/19,Rate,1150.98,3651000
New York City,Hispanic,3/19,Rate,1248.65,3651000
New York City,White,3/19,Rate,631.9,3651000
New York City,Asian,4/02,Rate,662.06,3651000
New York City,Black,4/02,Rate,1199.64,3651000
New York City,Hispanic,4/02,Rate,1290.89,3651000
New York City,White,4/02,Rate,661.97,3651000
New York City,Asian,4/11,Rate,678.11,3651000
New York City,Black,4/11,Rate,1227.38,3651000
New York City,Hispanic,4/11,Rate,1317.43,3651000
New York City,White,4/11,Rate,674.69,3651000
